address,type,x-text
0x46f0f8,string,"unknown critical chunk"
0x46f110,string,"Extra compression data"
0x46f128,string,"Decompression Error"
0x46f8c4,string,"invalid bit length repeat"
0x46f8e0,string,"too many length or distance symbols"
0x46f904,string,"invalid stored block lengths"
0x46f924,string,"invalid block type"
0x46f938,string,"incompatible version"
0x46f950,string,"buffer error"
0x46f960,string,"insufficient memory"
0x46f974,string,"data error"
0x46f980,string,"stream error"
0x46f990,string,"file error"
0x46f99c,string,"stream end"
0x46f9b7,string,"?invalid distance code"
0x46f9d0,string,"invalid literal/length code"
0x46fbe0,string,"incomplete dynamic bit lengths tree"
0x46fc04,string,"oversubscribed dynamic bit lengths tree"
0x46fc2c,string,"incomplete literal/length tree"
0x46fc4c,string,"oversubscribed literal/length tree"
0x46fc70,string,"empty distance tree with lengths"
0x46fc94,string,"incomplete distance tree"
0x46fcb0,string,"oversubscribed distance tree"
0x470000,string,"CorExitProcess"
0x470010,string,"mscoree.dll"
0x47004c,string,"e+000"
0x470066,string,"GAIsProcessorFeaturePresent"
0x470084,string,"KERNEL32"
0x4700fc,string,"(null)"
0x470104,string,"Microsoft Visual C++ Runtime Library"
0x47012c,string,"Program: "
0x470140,string,"<program name unknown>"
0x470158,string,"A buffer overrun has been detected which has corrupted the program\'s\ninternal state.  The program cannot safely continue execution and must\nnow be terminated.\n"
0x4701f8,string,"Buffer overrun detected!"
0x470218,string,"A security error of unknown cause has been detected which has\ncorrupted the program\'s internal state.  The program cannot safely\ncontinue execution and must now be terminated.\n"
0x4702cc,string,"Unknown security failure detected!"
0x47057c,string,"_nextafter"
0x4705d4,string,"floor"
0x470630,string,"log10"
0x4706a4,string,"runtime error "
0x4706b8,string,"TLOSS error\r\n"
0x4706c8,string,"SING error\r\n"
0x4706d8,string,"DOMAIN error\r\n"
0x4706e8,string,"R6028\r\n- unable to initialize heap\r\n"
0x470710,string,"R6027\r\n- not enough space for lowio initialization\r\n"
0x470748,string,"R6026\r\n- not enough space for stdio initialization\r\n"
0x470780,string,"R6025\r\n- pure virtual function call\r\n"
0x4707a8,string,"R6024\r\n- not enough space for _onexit/atexit table\r\n"
0x4707e0,string,"R6019\r\n- unable to open console device\r\n"
0x47080c,string,"R6018\r\n- unexpected heap error\r\n"
0x470830,string,"R6017\r\n- unexpected multithread lock error\r\n"
0x470860,string,"R6016\r\n- not enough space for thread data\r\n"
0x470890,string,"\r\nThis application has requested the Runtime to terminate it in an unusual way.\nPlease contact the application\'s support team for more information.\r\n"
0x470928,string,"R6009\r\n- not enough space for environment\r\n"
